Accession,Technology
GPL3976,spotted DNA/cDNA
GPL3980,in situ oligonucleotide
GPL3996,in situ oligonucleotide
GPL4006,spotted DNA/cDNA
GPL4070,spotted DNA/cDNA
GPL3410,spotted oligonucleotide
GPL4228,spotted oligonucleotide
GPL3441,spotted DNA/cDNA
GPL3442,spotted DNA/cDNA
GPL3443,spotted DNA/cDNA
GPL4199,spotted oligonucleotide
GPL4201,spotted oligonucleotide
GPL4202,spotted oligonucleotide
GPL4205,spotted oligonucleotide
GPL4211,spotted oligonucleotide
GPL4212,spotted oligonucleotide
GPL4221,spotted oligonucleotide
GPL4222,spotted oligonucleotide
GPL4223,spotted oligonucleotide
GPL4224,spotted oligonucleotide
GPL4230,spotted oligonucleotide
GPL4231,spotted oligonucleotide
GPL4232,spotted oligonucleotide
GPL4233,spotted oligonucleotide
GPL4234,oligonucleotide beads
GPL4235,spotted oligonucleotide
GPL4236,spotted oligonucleotide
GPL4237,spotted oligonucleotide
GPL4238,spotted oligonucleotide
GPL2731,spotted DNA/cDNA
GPL3400,in situ oligonucleotide
GPL3680,in situ oligonucleotide
GPL4193,spotted DNA/cDNA
GPL4226,spotted DNA/cDNA
GPL4181,spotted DNA/cDNA
GPL4196,spotted DNA/cDNA
GPL4197,spotted DNA/cDNA
GPL4213,spotted DNA/cDNA
GPL4214,spotted DNA/cDNA
GPL3929,spotted DNA/cDNA
GPL4191,spotted oligonucleotide
GPL4182,spotted DNA/cDNA
GPL4183,spotted DNA/cDNA
GPL4184,spotted DNA/cDNA
GPL4189,spotted DNA/cDNA
GPL4200,spotted oligonucleotide
GPL4048,spotted oligonucleotide
GPL4097,RT-PCR
GPL4098,other
GPL3599,spotted DNA/cDNA
GPL3871,spotted oligonucleotide
GPL4080,in situ oligonucleotide
GPL4096,spotted DNA/cDNA
GPL4104,spotted oligonucleotide
GPL4105,spotted oligonucleotide
GPL4106,spotted oligonucleotide
GPL4109,spotted DNA/cDNA
GPL4112,in situ oligonucleotide
GPL4113,in situ oligonucleotide
GPL4114,in situ oligonucleotide
GPL4115,in situ oligonucleotide
GPL4116,in situ oligonucleotide
GPL4117,in situ oligonucleotide
GPL4118,in situ oligonucleotide
GPL4119,in situ oligonucleotide
GPL4120,in situ oligonucleotide
GPL4121,in situ oligonucleotide
GPL4122,in situ oligonucleotide
GPL4123,in situ oligonucleotide
GPL4124,in situ oligonucleotide
GPL4125,in situ oligonucleotide
GPL4126,in situ oligonucleotide
GPL4127,in situ oligonucleotide
GPL4128,in situ oligonucleotide
GPL4129,in situ oligonucleotide
GPL4130,in situ oligonucleotide
GPL4131,in situ oligonucleotide
GPL4133,in situ oligonucleotide
GPL4134,in situ oligonucleotide
GPL4135,in situ oligonucleotide
GPL4145,in situ oligonucleotide
GPL4146,in situ oligonucleotide
GPL4147,in situ oligonucleotide
GPL4148,in situ oligonucleotide
GPL4149,in situ oligonucleotide
GPL4150,in situ oligonucleotide
GPL3451,spotted DNA/cDNA
GPL3452,spotted DNA/cDNA
GPL3453,spotted DNA/cDNA
GPL3454,spotted DNA/cDNA
GPL3886,other
GPL4091,in situ oligonucleotide
GPL4092,in situ oligonucleotide
GPL4093,in situ oligonucleotide
GPL4094,in situ oligonucleotide
GPL2756,spotted oligonucleotide
GPL3930,in situ oligonucleotide
GPL4089,in situ oligonucleotide
GPL4090,in situ oligonucleotide
GPL3700,spotted DNA/cDNA
GPL3703,spotted oligonucleotide
GPL4085,SAGE NlaIII
GPL4069,spotted DNA/cDNA
GPL4071,spotted oligonucleotide
GPL4066,spotted DNA/cDNA
GPL4049,spotted oligonucleotide
GPL3985,spotted DNA/cDNA
GPL4061,SAGE NlaIII
GPL3923,in situ oligonucleotide
GPL4057,spotted oligonucleotide
GPL4058,spotted oligonucleotide
GPL4041,oligonucleotide beads
GPL4042,oligonucleotide beads
GPL4052,spotted DNA/cDNA
GPL4050,spotted DNA/cDNA
GPL4055,oligonucleotide beads
GPL3106,spotted oligonucleotide
GPL3565,spotted DNA/cDNA
GPL3649,spotted DNA/cDNA
GPL4043,spotted DNA/cDNA
GPL4045,spotted DNA/cDNA
GPL4047,in situ oligonucleotide
GPL3887,spotted DNA/cDNA
GPL3888,spotted DNA/cDNA
GPL3889,spotted DNA/cDNA
GPL3893,spotted DNA/cDNA
GPL3894,spotted DNA/cDNA
GPL4003,spotted DNA/cDNA
GPL4039,spotted DNA/cDNA
GPL3607,spotted DNA/cDNA
GPL3678,in situ oligonucleotide
GPL3679,in situ oligonucleotide
GPL3709,spotted DNA/cDNA
GPL3870,in situ oligonucleotide
GPL4035,spotted oligonucleotide
GPL4036,spotted oligonucleotide
GPL3366,spotted DNA/cDNA
GPL2575,spotted DNA/cDNA
GPL3078,spotted oligonucleotide
GPL4031,spotted oligonucleotide
GPL4015,spotted oligonucleotide
GPL4016,in situ oligonucleotide
GPL4020,spotted DNA/cDNA
GPL4022,spotted oligonucleotide
GPL4023,spotted DNA/cDNA
GPL4024,spotted DNA/cDNA
GPL4025,spotted DNA/cDNA
GPL4032,in situ oligonucleotide
GPL2627,spotted DNA/cDNA
GPL4010,spotted DNA/cDNA
GPL3801,spotted oligonucleotide
GPL4012,spotted DNA/cDNA
GPL4013,spotted oligonucleotide
GPL4000,spotted oligonucleotide
GPL3458,spotted DNA/cDNA
GPL3955,in situ oligonucleotide
GPL3997,spotted oligonucleotide
GPL3236,spotted DNA/cDNA
GPL3480,spotted DNA/cDNA
GPL3834,spotted DNA/cDNA
GPL3836,spotted DNA/cDNA
GPL2621,spotted DNA/cDNA
GPL3994,spotted DNA/cDNA
GPL3883,spotted DNA/cDNA
GPL3979,in situ oligonucleotide
GPL3986,spotted DNA/cDNA
GPL3987,spotted DNA/cDNA
GPL3988,spotted DNA/cDNA
GPL3989,spotted DNA/cDNA
GPL3991,in situ oligonucleotide
GPL3992,in situ oligonucleotide
GPL3970,spotted DNA/cDNA
GPL3971,spotted DNA/cDNA
GPL3983,spotted oligonucleotide
GPL3984,SAGE NlaIII
GPL2612,spotted oligonucleotide
GPL3899,spotted DNA/cDNA
GPL3936,in situ oligonucleotide
GPL2510,spotted oligonucleotide
GPL2600,spotted DNA/cDNA
GPL2602,spotted DNA/cDNA
GPL2603,spotted DNA/cDNA
GPL3932,in situ oligonucleotide
GPL3933,in situ oligonucleotide
GPL3934,in situ oligonucleotide
GPL3937,in situ oligonucleotide
GPL3938,in situ oligonucleotide
GPL3939,in situ oligonucleotide
GPL3940,in situ oligonucleotide
GPL3943,in situ oligonucleotide
GPL3944,in situ oligonucleotide
GPL3945,in situ oligonucleotide
GPL3946,in situ oligonucleotide
GPL3947,in situ oligonucleotide
GPL3951,spotted DNA/cDNA
GPL3957,spotted DNA/cDNA
GPL3961,spotted DNA/cDNA
GPL3963,spotted oligonucleotide
GPL3964,spotted oligonucleotide
GPL3965,spotted oligonucleotide
GPL2580,spotted DNA/cDNA
GPL2594,spotted oligonucleotide
GPL3872,in situ oligonucleotide
GPL2811,spotted DNA/cDNA
GPL3773,in situ oligonucleotide
GPL3803,in situ oligonucleotide
GPL3804,in situ oligonucleotide
GPL3805,in situ oligonucleotide
GPL3806,in situ oligonucleotide
GPL3807,in situ oligonucleotide
GPL3813,in situ oligonucleotide
GPL3814,in situ oligonucleotide
GPL3815,in situ oligonucleotide
GPL3822,in situ oligonucleotide
GPL3858,other
GPL3862,other
GPL3969,SAGE NlaIII
GPL3239,spotted DNA/cDNA
GPL3255,spotted oligonucleotide
GPL3713,spotted DNA/cDNA
GPL3748,spotted oligonucleotide
GPL3935,spotted oligonucleotide
GPL3240,in situ oligonucleotide
GPL3839,spotted DNA/cDNA
GPL3840,spotted DNA/cDNA
GPL3898,spotted DNA/cDNA
GPL3922,spotted oligonucleotide
GPL2567,in situ oligonucleotide
GPL3928,spotted DNA/cDNA
GPL2573,spotted DNA/cDNA
GPL3892,spotted DNA/cDNA
GPL3896,oligonucleotide beads
GPL3916,spotted DNA/cDNA
GPL3918,spotted oligonucleotide
GPL3921,in situ oligonucleotide
GPL3701,in situ oligonucleotide
GPL3881,spotted DNA/cDNA
GPL3882,spotted DNA/cDNA
GPL3895,spotted DNA/cDNA
GPL3884,spotted oligonucleotide
GPL3885,spotted oligonucleotide
GPL3890,spotted DNA/cDNA
GPL3891,spotted DNA/cDNA
GPL3446,spotted DNA/cDNA
GPL3689,spotted DNA/cDNA
GPL3876,spotted oligonucleotide
GPL3880,spotted oligonucleotide
GPL3874,spotted DNA/cDNA
GPL3877,spotted oligonucleotide
GPL2544,in situ oligonucleotide
GPL3494,spotted DNA/cDNA
GPL3280,spotted oligonucleotide
GPL3642,spotted oligonucleotide
GPL3847,in situ oligonucleotide
GPL3859,spotted DNA/cDNA
GPL3860,spotted DNA/cDNA
GPL3861,spotted DNA/cDNA
GPL3865,spotted DNA/cDNA
GPL3846,spotted DNA/cDNA
GPL3844,in situ oligonucleotide
GPL3838,spotted DNA/cDNA
GPL3843,spotted DNA/cDNA
GPL3787,in situ oligonucleotide
GPL3791,in situ oligonucleotide
GPL3792,in situ oligonucleotide
GPL3793,in situ oligonucleotide
GPL3794,in situ oligonucleotide
GPL3809,spotted oligonucleotide
GPL3837,spotted oligonucleotide
GPL3825,spotted DNA/cDNA
GPL3826,spotted DNA/cDNA
GPL3827,spotted DNA/cDNA
GPL3828,spotted DNA/cDNA
GPL3829,spotted DNA/cDNA
GPL3830,spotted DNA/cDNA
GPL3312,in situ oligonucleotide
GPL3504,spotted oligonucleotide
GPL3734,spotted oligonucleotide
GPL3757,spotted oligonucleotide
GPL3758,spotted DNA/cDNA
GPL3759,spotted oligonucleotide
GPL3760,spotted oligonucleotide
GPL3761,spotted oligonucleotide
GPL3817,spotted DNA/cDNA
GPL3819,spotted DNA/cDNA
GPL3823,spotted DNA/cDNA
GPL3833,spotted DNA/cDNA
GPL3604,in situ oligonucleotide
GPL3772,spotted oligonucleotide
GPL3821,in situ oligonucleotide
GPL3810,spotted oligonucleotide
GPL3776,MPSS
GPL3777,MPSS
GPL3784,spotted DNA/cDNA
GPL3800,spotted oligonucleotide
GPL3802,in situ oligonucleotide
GPL3778,spotted DNA/cDNA
GPL3780,spotted DNA/cDNA
GPL3811,in situ oligonucleotide
GPL3812,in situ oligonucleotide
GPL3695,spotted DNA/cDNA
GPL3788,spotted DNA/cDNA
GPL3798,spotted DNA/cDNA
GPL3585,spotted DNA/cDNA
GPL3594,mixed spotted oligonucleotide/cDNA
GPL3608,spotted DNA/cDNA
GPL3786,in situ oligonucleotide
GPL3795,spotted DNA/cDNA
GPL3796,spotted DNA/cDNA
GPL3766,spotted oligonucleotide
GPL3767,spotted oligonucleotide
GPL3781,spotted DNA/cDNA
GPL2099,spotted DNA/cDNA
GPL2100,spotted DNA/cDNA
GPL3735,spotted DNA/cDNA
GPL3771,spotted DNA/cDNA
GPL3466,spotted DNA/cDNA
GPL3732,spotted oligonucleotide
GPL3755,spotted DNA/cDNA
GPL3756,spotted DNA/cDNA
GPL3763,spotted DNA/cDNA
GPL3779,spotted oligonucleotide
GPL3770,SAGE NlaIII
GPL3718,in situ oligonucleotide
GPL3720,in situ oligonucleotide
GPL3741,spotted DNA/cDNA
GPL3722,in situ oligonucleotide
GPL3723,in situ oligonucleotide
GPL3724,in situ oligonucleotide
GPL3730,spotted DNA/cDNA
GPL3739,spotted oligonucleotide
GPL2027,spotted DNA/cDNA
GPL3737,in situ oligonucleotide
GPL3738,in situ oligonucleotide
GPL2624,spotted DNA/cDNA
GPL3728,spotted oligonucleotide
GPL3729,spotted DNA/cDNA
GPL3707,spotted oligonucleotide
GPL3711,in situ oligonucleotide
GPL3715,in situ oligonucleotide
GPL2030,spotted DNA/cDNA
GPL3424,spotted DNA/cDNA
GPL3425,spotted DNA/cDNA
GPL3426,spotted DNA/cDNA
GPL3725,in situ oligonucleotide
GPL3265,spotted DNA/cDNA
GPL3429,spotted oligonucleotide
GPL3517,spotted oligonucleotide
GPL3564,spotted oligonucleotide
GPL3697,spotted DNA/cDNA
GPL3365,spotted oligonucleotide
GPL3704,spotted DNA/cDNA
GPL3702,spotted oligonucleotide
GPL3706,in situ oligonucleotide
GPL1997,spotted DNA/cDNA
GPL3698,spotted DNA/cDNA
GPL3681,in situ oligonucleotide
GPL3699,spotted oligonucleotide
GPL3650,spotted DNA/cDNA
GPL3690,spotted DNA/cDNA
GPL3691,spotted oligonucleotide
GPL3675,spotted oligonucleotide
GPL3676,spotted oligonucleotide
GPL3363,spotted DNA/cDNA
GPL3369,spotted oligonucleotide
GPL3640,spotted DNA/cDNA
GPL3673,spotted oligonucleotide
GPL3677,in situ oligonucleotide
GPL2981,spotted oligonucleotide
GPL3655,spotted DNA/cDNA
GPL3663,spotted oligonucleotide
GPL3664,spotted DNA/cDNA
GPL3665,spotted oligonucleotide
GPL3666,spotted oligonucleotide
GPL3668,spotted DNA/cDNA
GPL3671,spotted DNA/cDNA
GPL3618,in situ oligonucleotide
GPL3644,spotted oligonucleotide
GPL3645,spotted DNA/cDNA
GPL3648,spotted DNA/cDNA
GPL3279,spotted DNA/cDNA
GPL3641,spotted DNA/cDNA
GPL3643,spotted DNA/cDNA
GPL3634,spotted oligonucleotide
GPL3638,spotted oligonucleotide
GPL1998,spotted DNA/cDNA
GPL1999,spotted DNA/cDNA
GPL3632,spotted DNA/cDNA
GPL3621,spotted DNA/cDNA
GPL3631,in situ oligonucleotide
GPL3612,spotted DNA/cDNA
GPL1942,spotted oligonucleotide
GPL2797,spotted oligonucleotide
GPL3408,spotted DNA/cDNA
GPL3538,spotted DNA/cDNA
GPL3578,spotted DNA/cDNA
GPL3609,spotted DNA/cDNA
GPL1940,spotted DNA/cDNA
GPL2910,spotted DNA/cDNA
GPL3598,spotted DNA/cDNA
GPL3603,spotted oligonucleotide
GPL3606,spotted oligonucleotide
GPL3278,spotted DNA/cDNA
GPL3566,spotted DNA/cDNA
GPL3586,spotted DNA/cDNA
GPL3592,spotted DNA/cDNA
GPL2672,spotted DNA/cDNA
GPL3229,spotted DNA/cDNA
GPL3230,spotted DNA/cDNA
GPL3575,in situ oligonucleotide
GPL3576,in situ oligonucleotide
GPL2036,spotted DNA/cDNA
GPL3571,spotted DNA/cDNA
GPL3582,spotted DNA/cDNA
GPL3568,spotted oligonucleotide
GPL3558,spotted DNA/cDNA
GPL2857,spotted DNA/cDNA
GPL2859,spotted oligonucleotide
GPL2774,spotted oligonucleotide
GPL3357,spotted DNA/cDNA
GPL3412,spotted DNA/cDNA
GPL3562,in situ oligonucleotide
GPL3563,in situ oligonucleotide
GPL3547,spotted oligonucleotide
GPL3548,spotted oligonucleotide
GPL3549,spotted oligonucleotide
GPL2849,spotted DNA/cDNA
GPL3401,in situ oligonucleotide
GPL3544,spotted DNA/cDNA
GPL3545,spotted DNA/cDNA
GPL2813,spotted DNA/cDNA
GPL3539,spotted oligonucleotide
GPL3499,in situ oligonucleotide
GPL3505,in situ oligonucleotide
GPL3529,spotted oligonucleotide
GPL3508,in situ oligonucleotide
GPL3514,in situ oligonucleotide
GPL3518,spotted oligonucleotide
GPL3533,in situ oligonucleotide
GPL3535,in situ oligonucleotide
GPL3512,spotted oligonucleotide
GPL3513,spotted oligonucleotide
GPL3522,spotted DNA/cDNA
GPL3523,spotted DNA/cDNA
GPL3524,spotted DNA/cDNA
GPL3525,spotted DNA/cDNA
GPL3526,spotted DNA/cDNA
GPL3527,spotted DNA/cDNA
GPL3528,spotted DNA/cDNA
GPL3423,in situ oligonucleotide
GPL3500,spotted DNA/cDNA
GPL3503,spotted DNA/cDNA
GPL3506,spotted DNA/cDNA
GPL3507,spotted DNA/cDNA
GPL3497,in situ oligonucleotide
GPL3016,spotted oligonucleotide
GPL2555,spotted DNA/cDNA
GPL2789,spotted DNA/cDNA
GPL2795,in situ oligonucleotide
GPL3282,spotted DNA/cDNA
GPL3471,in situ oligonucleotide
GPL3498,spotted DNA/cDNA
GPL3057,spotted DNA/cDNA
GPL3058,spotted DNA/cDNA
GPL3469,spotted DNA/cDNA
GPL3470,spotted DNA/cDNA
GPL3489,in situ oligonucleotide
GPL2722,spotted DNA/cDNA
GPL3395,spotted DNA/cDNA
GPL3417,spotted DNA/cDNA
GPL3418,spotted DNA/cDNA
GPL3419,spotted DNA/cDNA
GPL3428,spotted DNA/cDNA
GPL3484,spotted DNA/cDNA
GPL3485,spotted DNA/cDNA
GPL3486,spotted DNA/cDNA
GPL3473,spotted oligonucleotide
GPL3476,spotted DNA/cDNA
GPL2616,spotted DNA/cDNA
GPL3461,spotted oligonucleotide
GPL3286,spotted DNA/cDNA
GPL2997,spotted oligonucleotide
GPL2998,spotted oligonucleotide
GPL3307,spotted oligonucleotide
GPL3360,in situ oligonucleotide
GPL3444,spotted oligonucleotide
GPL3463,spotted oligonucleotide
GPL3464,spotted DNA/cDNA
GPL2735,spotted DNA/cDNA
GPL3457,spotted DNA/cDNA
GPL3377,spotted DNA/cDNA
GPL3448,in situ oligonucleotide
GPL3449,in situ oligonucleotide
GPL3450,in situ oligonucleotide
GPL3253,spotted DNA/cDNA
GPL3455,spotted DNA/cDNA
GPL3361,spotted oligonucleotide
GPL3436,spotted DNA/cDNA
GPL3074,spotted oligonucleotide
GPL3440,spotted oligonucleotide
GPL3438,spotted DNA/cDNA
GPL3439,spotted DNA/cDNA
GPL3234,spotted peptide or protein
GPL3427,spotted DNA/cDNA
GPL3433,spotted oligonucleotide
GPL3409,spotted DNA/cDNA
GPL3313,spotted DNA/cDNA
GPL3411,spotted DNA/cDNA
GPL3413,spotted DNA/cDNA
GPL3415,spotted DNA/cDNA
GPL3394,spotted oligonucleotide
GPL3403,spotted DNA/cDNA
GPL3404,spotted DNA/cDNA
GPL3406,spotted DNA/cDNA
GPL3407,spotted DNA/cDNA
GPL2568,spotted DNA/cDNA
GPL3091,spotted DNA/cDNA
GPL3238,spotted oligonucleotide
GPL3399,spotted DNA/cDNA
GPL3402,spotted DNA/cDNA
GPL3405,spotted DNA/cDNA
GPL3397,spotted DNA/cDNA
GPL3388,in situ oligonucleotide
GPL3398,spotted DNA/cDNA
GPL3396,spotted DNA/cDNA
GPL1831,spotted DNA/cDNA
GPL1833,spotted DNA/cDNA
GPL3242,spotted DNA/cDNA
GPL3243,spotted DNA/cDNA
GPL3244,spotted DNA/cDNA
GPL3245,spotted DNA/cDNA
GPL3246,spotted oligonucleotide
GPL3386,spotted DNA/cDNA
GPL3387,spotted DNA/cDNA
GPL3390,spotted DNA/cDNA
GPL3391,spotted DNA/cDNA
GPL3017,spotted DNA/cDNA
GPL3018,spotted DNA/cDNA
GPL3019,spotted DNA/cDNA
GPL3020,spotted DNA/cDNA
GPL2863,spotted DNA/cDNA
GPL3367,spotted oligonucleotide
GPL3372,spotted DNA/cDNA
GPL3381,spotted DNA/cDNA
GPL3382,spotted DNA/cDNA
GPL3383,spotted DNA/cDNA
GPL2992,spotted DNA/cDNA
GPL2720,in situ oligonucleotide
GPL3356,spotted DNA/cDNA
GPL3370,spotted DNA/cDNA
GPL2710,spotted DNA/cDNA
GPL2768,spotted DNA/cDNA
GPL3237,spotted DNA/cDNA
GPL3349,spotted DNA/cDNA
GPL2741,spotted DNA/cDNA
GPL2986,spotted oligonucleotide
GPL2995,spotted oligonucleotide
GPL2996,spotted oligonucleotide
GPL3348,spotted oligonucleotide
GPL3358,in situ oligonucleotide
GPL3359,spotted oligonucleotide
GPL2862,in situ oligonucleotide
GPL3333,spotted DNA/cDNA
GPL3355,spotted DNA/cDNA
GPL3339,spotted DNA/cDNA
GPL3340,spotted DNA/cDNA
GPL3341,spotted DNA/cDNA
GPL3343,spotted DNA/cDNA
GPL3344,spotted DNA/cDNA
GPL3345,spotted DNA/cDNA
GPL3346,spotted DNA/cDNA
GPL3347,spotted DNA/cDNA
GPL3330,spotted oligonucleotide
GPL3331,spotted oligonucleotide
GPL3334,spotted DNA/cDNA
GPL3335,spotted DNA/cDNA
GPL3051,spotted oligonucleotide
GPL3320,spotted DNA/cDNA
GPL3321,spotted DNA/cDNA
GPL3322,spotted DNA/cDNA
GPL3323,spotted DNA/cDNA
GPL3324,spotted DNA/cDNA
GPL3325,spotted DNA/cDNA
GPL3328,spotted DNA/cDNA
GPL3329,spotted DNA/cDNA
GPL3332,spotted DNA/cDNA
GPL3302,spotted DNA/cDNA
GPL3303,spotted DNA/cDNA
GPL3306,spotted DNA/cDNA
GPL3308,spotted DNA/cDNA
GPL3309,spotted DNA/cDNA
GPL3310,spotted DNA/cDNA
GPL3311,spotted DNA/cDNA
GPL1752,spotted DNA/cDNA
GPL1756,spotted DNA/cDNA
GPL2122,spotted DNA/cDNA
GPL3301,in situ oligonucleotide
GPL3304,spotted DNA/cDNA
GPL3305,spotted DNA/cDNA
GPL3300,spotted DNA/cDNA
GPL2012,spotted DNA/cDNA
GPL2013,spotted DNA/cDNA
GPL2585,spotted DNA/cDNA
GPL2610,spotted DNA/cDNA
GPL2682,spotted DNA/cDNA
GPL2730,spotted oligonucleotide
GPL3072,spotted oligonucleotide
GPL3099,in situ oligonucleotide
GPL1932,spotted oligonucleotide
GPL2092,spotted oligonucleotide
GPL2788,spotted DNA/cDNA
GPL2792,spotted DNA/cDNA
GPL2829,spotted DNA/cDNA
GPL2889,spotted DNA/cDNA
GPL2902,spotted oligonucleotide
GPL2920,spotted DNA/cDNA
GPL2989,spotted DNA/cDNA
GPL3295,spotted DNA/cDNA
GPL3296,spotted DNA/cDNA
GPL2586,spotted oligonucleotide
GPL2844,spotted DNA/cDNA
GPL2909,spotted oligonucleotide
GPL3287,spotted DNA/cDNA
GPL3288,spotted DNA/cDNA
GPL3289,spotted DNA/cDNA
GPL3290,spotted DNA/cDNA
GPL3291,spotted DNA/cDNA
GPL3292,spotted DNA/cDNA
GPL3293,spotted DNA/cDNA
GPL3283,spotted DNA/cDNA
GPL3284,spotted DNA/cDNA
GPL3285,spotted DNA/cDNA
GPL2888,spotted oligonucleotide
GPL3110,spotted oligonucleotide
GPL3277,spotted DNA/cDNA
GPL3281,spotted oligonucleotide
GPL793,spotted DNA/cDNA
GPL1878,spotted oligonucleotide
GPL1889,spotted oligonucleotide
GPL3266,spotted DNA/cDNA
GPL3268,spotted DNA/cDNA
GPL3269,spotted DNA/cDNA
GPL3270,spotted DNA/cDNA
GPL3271,spotted DNA/cDNA
GPL3272,spotted DNA/cDNA
GPL3273,spotted DNA/cDNA
GPL3274,spotted DNA/cDNA
GPL3275,spotted DNA/cDNA
GPL2019,spotted DNA/cDNA
GPL2020,spotted DNA/cDNA
GPL2021,spotted DNA/cDNA
GPL2708,spotted DNA/cDNA
GPL2732,spotted DNA/cDNA
GPL2733,spotted DNA/cDNA
GPL2734,spotted DNA/cDNA
GPL2771,MS
GPL3264,spotted oligonucleotide
GPL3267,spotted DNA/cDNA
GPL2819,spotted oligonucleotide
GPL2826,spotted oligonucleotide
GPL2827,spotted oligonucleotide
GPL2834,spotted oligonucleotide
GPL2842,spotted DNA/cDNA
GPL2843,spotted DNA/cDNA
GPL2858,spotted oligonucleotide
GPL3054,spotted oligonucleotide
GPL3055,spotted oligonucleotide
GPL3056,spotted oligonucleotide
GPL3262,spotted DNA/cDNA
GPL2715,spotted oligonucleotide
GPL2807,spotted oligonucleotide
GPL1747,spotted oligonucleotide
GPL3052,spotted DNA/cDNA
GPL3251,spotted DNA/cDNA
GPL3254,spotted DNA/cDNA
GPL3252,SAGE NlaIII
GPL3111,in situ oligonucleotide
GPL3241,spotted oligonucleotide
GPL3235,in situ oligonucleotide
GPL1741,spotted DNA/cDNA
GPL2899,spotted DNA/cDNA
GPL3021,spotted DNA/cDNA
GPL3050,spotted DNA/cDNA
GPL2748,spotted oligonucleotide
GPL2749,spotted oligonucleotide
GPL3231,spotted DNA/cDNA
GPL3232,spotted DNA/cDNA
GPL3005,spotted DNA/cDNA
GPL3214,spotted DNA/cDNA
GPL2001,spotted DNA/cDNA
GPL2002,spotted DNA/cDNA
GPL3222,spotted oligonucleotide
GPL3223,spotted oligonucleotide
GPL2719,spotted DNA/cDNA
GPL3216,spotted DNA/cDNA
GPL3225,spotted DNA/cDNA
GPL3226,spotted DNA/cDNA
GPL3227,spotted DNA/cDNA
GPL3228,spotted DNA/cDNA
GPL2743,spotted DNA/cDNA
GPL2757,spotted DNA/cDNA
GPL2758,spotted DNA/cDNA
GPL2915,spotted oligonucleotide
GPL3210,spotted DNA/cDNA
GPL3218,spotted oligonucleotide
GPL1982,spotted DNA/cDNA
GPL2814,in situ oligonucleotide
GPL3015,spotted DNA/cDNA
GPL3090,oligonucleotide beads
GPL3213,in situ oligonucleotide
GPL1443,MPSS
GPL3153,spotted oligonucleotide
GPL3209,SAGE NlaIII
GPL3177,spotted DNA/cDNA
GPL3178,spotted DNA/cDNA
GPL1770,spotted oligonucleotide
GPL3147,spotted DNA/cDNA
GPL3155,spotted DNA/cDNA
GPL3113,spotted DNA/cDNA
GPL3114,spotted DNA/cDNA
GPL3115,spotted DNA/cDNA
GPL3116,spotted DNA/cDNA
GPL3117,spotted DNA/cDNA
GPL3118,spotted DNA/cDNA
GPL3119,spotted DNA/cDNA
GPL3120,spotted DNA/cDNA
GPL3121,spotted DNA/cDNA
GPL3122,spotted DNA/cDNA
GPL3154,in situ oligonucleotide
GPL3108,spotted oligonucleotide
GPL3109,spotted DNA/cDNA
GPL2916,spotted DNA/cDNA
GPL3092,spotted DNA/cDNA
GPL3093,spotted DNA/cDNA
GPL3095,spotted DNA/cDNA
GPL3096,spotted DNA/cDNA
GPL3097,spotted DNA/cDNA
GPL3098,spotted DNA/cDNA
GPL3063,spotted DNA/cDNA
GPL2988,in situ oligonucleotide
GPL3061,spotted DNA/cDNA
GPL3070,spotted oligonucleotide
GPL3076,spotted DNA/cDNA
GPL3081,spotted DNA/cDNA
GPL3064,spotted DNA/cDNA
GPL3069,spotted oligonucleotide
GPL3073,spotted DNA/cDNA
GPL3082,spotted DNA/cDNA
GPL3083,spotted DNA/cDNA
GPL3084,spotted DNA/cDNA
GPL1707,spotted DNA/cDNA
GPL2914,spotted oligonucleotide
GPL2697,spotted DNA/cDNA
GPL3060,spotted DNA/cDNA
GPL3034,spotted DNA/cDNA
GPL2024,spotted DNA/cDNA
GPL3032,spotted oligonucleotide
GPL3044,spotted DNA/cDNA
GPL3045,spotted DNA/cDNA
GPL3046,spotted DNA/cDNA
GPL3047,spotted DNA/cDNA
GPL3048,spotted DNA/cDNA
GPL3035,spotted DNA/cDNA
GPL3038,spotted DNA/cDNA
GPL3039,spotted DNA/cDNA
GPL3040,spotted DNA/cDNA
GPL3041,spotted DNA/cDNA
GPL3042,spotted DNA/cDNA
GPL3043,spotted DNA/cDNA
GPL3036,mixed spotted oligonucleotide/cDNA
GPL3037,mixed spotted oligonucleotide/cDNA
GPL2799,spotted DNA/cDNA
GPL3022,spotted DNA/cDNA
GPL3023,spotted DNA/cDNA
GPL3024,spotted DNA/cDNA
GPL3025,spotted DNA/cDNA
GPL3026,spotted DNA/cDNA
GPL3027,spotted DNA/cDNA
GPL3028,spotted DNA/cDNA
GPL3029,spotted DNA/cDNA
GPL3030,spotted DNA/cDNA
GPL3031,spotted DNA/cDNA
GPL2665,spotted DNA/cDNA
GPL3033,spotted DNA/cDNA
GPL3013,in situ oligonucleotide
GPL3014,spotted DNA/cDNA
GPL3006,spotted oligonucleotide
GPL2987,spotted oligonucleotide
GPL3004,spotted DNA/cDNA
GPL3007,spotted DNA/cDNA
GPL3008,spotted DNA/cDNA
GPL3009,spotted DNA/cDNA
GPL3010,spotted DNA/cDNA
GPL3011,spotted DNA/cDNA
GPL2993,spotted oligonucleotide
GPL3000,spotted DNA/cDNA
GPL3001,spotted DNA/cDNA
GPL3002,spotted DNA/cDNA
GPL3003,spotted DNA/cDNA
